state,county,kfr_black_female_n,kfr_black_female_mean,kfr_top20_black_female_n,kfr_top20_black_female_mean,married_black_female_n,married_black_female_mean,has_dad_black_female_n,has_dad_black_female_mean,teenbrth_black_female_n,teenbrth_black_female_mean,working_black_female_n,working_black_female_mean,proginc_black_female_n,proginc_black_female_mean,coll_black_female_n,coll_black_female_mean,wgflx_rk_black_female_n,wgflx_rk_black_female_mean,hours_wk_black_female_n,hours_wk_black_female_mean,kfr_top01_black_female_n,kfr_top01_black_female_mean,lpov_nbh_black_female_n,lpov_nbh_black_female_mean,two_par_black_female_n,two_par_black_female_mean,has_mom_black_female_n,has_mom_black_female_mean,staytract_black_female_n,staytract_black_female_mean,staycz_black_female_n,staycz_black_female_mean,stayhome_black_female_n,stayhome_black_female_mean,grad_black_female_n,grad_black_female_mean,comcoll_black_female_n,comcoll_black_female_mean,kfr_white_female_n,kfr_white_female_mean,kfr_top20_white_female_n,kfr_top20_white_female_mean,married_white_female_n,married_white_female_mean,has_dad_white_female_n,has_dad_white_female_mean,teenbrth_white_female_n,teenbrth_white_female_mean,working_white_female_n,working_white_female_mean,proginc_white_female_n,proginc_white_female_mean,coll_white_female_n,coll_white_female_mean,wgflx_rk_white_female_n,wgflx_rk_white_female_mean,hours_wk_white_female_n,hours_wk_white_female_mean,kfr_top01_white_female_n,kfr_top01_white_female_mean,lpov_nbh_white_female_n,lpov_nbh_white_female_mean,two_par_white_female_n,two_par_white_female_mean,has_mom_white_female_n,has_mom_white_female_mean,staytract_white_female_n,staytract_white_female_mean,staycz_white_female_n,staycz_white_female_mean,stayhome_white_female_n,stayhome_white_female_mean,grad_white_female_n,grad_white_female_mean,comcoll_white_female_n,comcoll_white_female_mean,kfr_black_male_n,kfr_black_male_mean,kfr_top20_black_male_n,kfr_top20_black_male_mean,married_black_male_n,married_black_male_mean,has_dad_black_male_n,has_dad_black_male_mean,working_black_male_n,working_black_male_mean,proginc_black_male_n,proginc_black_male_mean,coll_black_male_n,coll_black_male_mean,wgflx_rk_black_male_n,wgflx_rk_black_male_mean,hours_wk_black_male_n,hours_wk_black_male_mean,kfr_top01_black_male_n,kfr_top01_black_male_mean,lpov_nbh_black_male_n,lpov_nbh_black_male_mean,two_par_black_male_n,two_par_black_male_mean,has_mom_black_male_n,has_mom_black_male_mean,staytract_black_male_n,staytract_black_male_mean,staycz_black_male_n,staycz_black_male_mean,stayhome_black_male_n,stayhome_black_male_mean,grad_black_male_n,grad_black_male_mean,comcoll_black_male_n,comcoll_black_male_mean,kfr_white_male_n,kfr_white_male_mean,kfr_top20_white_male_n,kfr_top20_white_male_mean,married_white_male_n,married_white_male_mean,has_dad_white_male_n,has_dad_white_male_mean,working_white_male_n,working_white_male_mean,proginc_white_male_n,proginc_white_male_mean,coll_white_male_n,coll_white_male_mean,wgflx_rk_white_male_n,wgflx_rk_white_male_mean,hours_wk_white_male_n,hours_wk_white_male_mean,kfr_top01_white_male_n,kfr_top01_white_male_mean,lpov_nbh_white_male_n,lpov_nbh_white_male_mean,two_par_white_male_n,two_par_white_male_mean,has_mom_white_male_n,has_mom_white_male_mean,staytract_white_male_n,staytract_white_male_mean,staycz_white_male_n,staycz_white_male_mean,stayhome_white_male_n,stayhome_white_male_mean,grad_white_male_n,grad_white_male_mean,comcoll_white_male_n,comcoll_white_male_mean,kid_white_male_n,kid_white_female_n,kid_black_male_n,kid_black_female_n
1,1,499,.3370029,499,.025383705,499,.14349747,499,.60158664,499,.40640509,499,.80941164,34,.031459238,49,.13071705,25,.36074921,34,24.778088,499,-.000218881,493,.30242714,499,.37259936,499,.77154875,493,.34325796,493,.74275202,349,.16143522,34,.043826956,49,.2500366,2087,.54112178,2087,.21434681,2087,.61970943,2087,.87783372,2087,.20474064,2087,.70320433,150,.019965889,259,.39761481,112,.43840694,150,26.141483,2087,.010101736,2085,.45796293,2087,.82814181,2087,.95023769,2085,.2222793,2085,.62872285,1644,.10215876,151,.1341936,259,.46519855,501,.3197301,501,.050829232,501,.172894,501,.5562433,501,.68339956,22,-.003126869,35,.015360414,,,22,31.705193,501,.0034895809,496,.28231141,501,.3206169,501,.76388574,496,.30709162,496,.70300388,319,.15616059,22,.0010250451,35,.12723847,2201,.51512676,2201,.17840859,2201,.53860968,2201,.89253974,2201,.80281788,148,.01439677,277,.27060279,135,.53475559,148,39.121628,2201,.00092255999,2189,.46667498,2201,.83837968,2201,.94594616,2189,.26304936,2189,.63324702,1721,.11473126,148,.094892316,277,.34275505,4963,4657,1219,1201
1,3,731,.32703245,731,.036409687,731,.14115496,731,.53989065,731,.44868329,731,.79857117,30,.0089129554,54,.10130886,23,.41764727,30,17.771641,731,.000421075,727,.38596281,731,.35206982,731,.81218976,727,.32951087,727,.72699857,508,.20386469,30,.074622251,54,.27960432,5287,.53755909,5287,.24018455,5287,.57315767,5287,.86809921,5287,.15131408,5287,.72101754,320,.014753786,589,.45387855,253,.4412201,320,29.293892,5287,.0098542552,5273,.48323327,5287,.81906074,5287,.95096505,5272,.227507,5272,.64636576,4106,.11858124,320,.19645675,589,.54042482,724,.31717598,724,.041046597,724,.14960597,724,.57449818,724,.72581238,31,.0023103789,62,.059340999,23,.32347518,31,25.40028,724,.00088755001,706,.32342589,724,.34830633,724,.77386415,706,.4007861,706,.68608183,430,.24151821,31,-.00015351499,62,.153418,5579,.52035475,5579,.20213646,5579,.51978034,5579,.87910217,5579,.78581917,315,.0048980708,551,.35696578,286,.54702073,315,38.089264,5579,.0061155669,5556,.49165291,5579,.81887221,5579,.93983966,5555,.27584448,5555,.65941554,4282,.14267887,315,.15116145,551,.44287571,14451,13556,2423,2296
1,5,610,.32211199,610,.018161075,610,.15395957,610,.50447023,610,.47976586,610,.75180483,53,.079300791,75,.17889763,41,.33101892,53,24.000326,610,.0000392855,603,.13671613,610,.29223126,610,.78764123,603,.27640316,603,.55431533,438,.14158061,53,.083450019,75,.28083163,581,.54639733,581,.24998969,581,.61062241,581,.87268859,581,.16009262,581,.72930145,47,-.001814687,92,.36162725,39,.45999351,47,28.194611,581,.01123539,577,.22125334,581,.8255195,581,.95257634,577,.22928484,577,.45970061,444,.1000512,47,.10698299,92,.55035675,546,.31827822,546,.0210902,546,.16656384,546,.51330829,546,.74120355,38,-.00089209498,56,.1027604,28,.26166952,38,26.930185,546,-.00012105,533,.13132459,546,.28154442,546,.76817667,533,.35337478,533,.50385147,336,.23795623,38,.030987525,56,.10630789,607,.5326733,607,.18677455,607,.57624811,607,.88749713,607,.82696193,56,-.002084669,85,.37539625,55,.51902312,56,43.045906,607,.001700792,603,.24714954,607,.83212757,607,.94456547,603,.26346296,603,.45386648,488,.13331246,56,.11382077,85,.58011109,1616,1485,2068,2017
1,7,151,.31649479,151,.02011928,151,.078682937,151,.54778039,151,.46765855,151,.79093271,,,,,,,,,151,-.000034712899,142,.27364457,151,.24176395,151,.69535828,142,.38894448,142,.68240833,96,.12872109,,,,,629,.48212814,629,.18406488,629,.57761675,629,.88313711,629,.23678206,629,.66687864,36,.056180786,60,.27940428,29,.33070222,36,24.589863,629,.006171383,624,.54949439,629,.82564986,629,.94290018,624,.36497092,624,.66017836,453,.092201859,36,.12309504,60,.33998433,148,.32227591,148,.068110183,148,.10745071,148,.66054463,148,.72791147,,,,,,,,,148,.00043005901,146,.31925225,148,.22598833,148,.56445169,146,.4400987,146,.6205408,84,.25736499,,,,,621,.49715096,621,.15336545,621,.50803018,621,.876863,621,.78618687,37,.010387817,65,.18315849,33,.58548284,37,40.125675,621,.000392777,617,.526232,621,.79686081,621,.91960591,617,.43548375,617,.70420176,424,.1334119,37,.085696325,65,.22280842,1958,1877,695,644
1,9,37,.38784659,37,.10375054,37,.21568334,37,.64714396,37,.29516539,37,.86726892,,,,,,,,,37,-.00077219098,37,.32629412,37,.58150554,37,.93010777,37,.39903942,37,.76313627,28,.21238138,,,,,1965,.50653219,1965,.17308547,1965,.63322526,1965,.88068181,1965,.20550573,1965,.68858027,136,.051395629,248,.27910876,101,.39936781,136,25.865181,1965,.003507186,1956,.30012527,1965,.83141255,1965,.95085037,1956,.33719608,1956,.73085099,1561,.093427755,136,.10788169,248,.47144687,23,.31102699,23,.03096484,23,.24513482,23,.64570916,23,.59640729,,,,,,,,,23,-.00082248403,23,.23755829,23,.61979973,23,.97411925,23,.24636348,23,.8063398,,,,,,,2073,.47928372,2073,.14221504,2073,.54442114,2073,.8901614,2073,.77521408,161,.0035017449,267,.19303894,134,.49115646,161,36.094643,2073,.00060057401,2051,.29008856,2073,.83550191,2073,.9453693,2051,.38707304,2051,.75881791,1631,.15311871,161,.033198822,267,.3725684,5993,5556,89,88
1,11,379,.33601034,379,.024873443,379,.075112328,379,.45412821,379,.46100208,379,.86453152,20,.064241372,37,.1956653,,,20,27.025433,379,-.00053343998,377,.16798356,379,.15651847,379,.7022056,377,.36397707,377,.55238122,245,.19340961,20,.00070054299,37,.23298676,72,.55624408,72,.19789295,72,.63202178,72,.80826211,72,.15119252,72,.74388796,,,,,,,,,72,.0023192789,70,.2236788,72,.67931175,72,.87189603,70,.26916796,70,.42108259,58,.070624873,,,,,352,.33164924,352,.038688593,352,.098299816,352,.48548061,352,.75544339,,,26,.1545689,,,,,352,.00098556501,344,.13246164,352,.20664278,352,.72197372,344,.4511756,344,.55453002,211,.22936004,,,26,.22262311,84,.60864455,84,.31822366,84,.60395259,84,.94481575,84,.86291665,,,,,,,,,84,.000361527,84,.17019908,84,.75826895,84,.81099182,84,.41633001,84,.57618678,62,.21265912,,,,,200,197,1292,1266
1,13,505,.31523532,505,.019383403,505,.10694587,505,.50083435,505,.46822843,505,.81553638,31,-.0027175611,60,.15724728,23,.35431716,31,27.682451,505,-.000260128,497,.1383027,505,.26006597,505,.75866961,497,.38957626,497,.74926037,343,.20854574,31,.096348599,60,.25131378,582,.52510655,582,.20185702,582,.57805341,582,.82499057,582,.19097875,582,.72468108,49,.005876218,86,.34965688,39,.46462598,49,28.601252,582,.015304057,577,.29473206,582,.73606557,582,.91126698,577,.26340044,577,.57609481,448,.1078487,49,.19097088,86,.43700421,517,.30827785,517,.019809084,517,.1230941,517,.49028265,517,.73098224,36,.070204072,53,.010025605,22,.24143113,36,23.693384,517,-.000024434999,506,.1701346,517,.22139065,517,.73044258,506,.40787637,506,.68307519,305,.26702702,36,.0031566999,53,.024591561,589,.51616496,589,.1596932,589,.5324983,589,.88113254,589,.82338119,37,-.000763021,67,.4138037,36,.4139778,37,39.143963,589,.0039086998,587,.25501332,589,.79513067,589,.91360193,587,.3280676,587,.62521452,452,.18742722,37,.21970572,67,.48814011,1413,1373,1470,1415
1,15,1389,.3505165,1389,.041936025,1389,.15421765,1389,.53143781,1389,.44497633,1389,.80923373,68,.010373034,139,.22214125,59,.30368087,68,29.774473,1389,.00067191798,1381,.25030714,1389,.33433801,1389,.80276316,1381,.23509845,1381,.63012636,1014,.13859998,68,.10702994,139,.36161944,4268,.49973828,4268,.17436489,4268,.57761639,4268,.85553885,4268,.2199963,4268,.72044122,300,.016801136,516,.40566409,227,.4400759,300,25.738441,4268,.003040503,4245,.27684712,4268,.79717445,4268,.94156653,4245,.26195848,4245,.6108126,3346,.10664769,300,.14853767,516,.48661858,1319,.31821567,1319,.03652627,1319,.17626508,1319,.54198098,1319,.7284835,65,.0304846,118,.15357256,41,.2850706,65,28.64673,1319,-.0000700991,1293,.2378893,1319,.33995026,1319,.79778373,1294,.30922273,1294,.62193561,834,.23274571,65,.039044801,118,.16027474,4304,.47965273,4304,.14270954,4304,.51657629,4304,.86231923,4304,.79478383,274,.002633045,462,.30222785,241,.48842382,274,36.592247,4304,.003617265,4273,.27317998,4304,.79715413,4304,.93490303,4273,.31011546,4273,.63283736,3272,.14348951,274,.094764352,462,.36795336,9788,9243,3123,3119
1,17,809,.33521768,809,.03781984,809,.090139352,809,.46985748,809,.51272559,809,.81218863,47,.032778539,81,.13717259,35,.2853449,47,27.649651,809,-.000216806,801,.10161426,809,.20801842,809,.73848623,801,.34726891,801,.67993909,556,.20125251,47,.070632651,81,.24809359,965,.48642018,965,.14798886,965,.50799704,965,.84329838,965,.29906198,965,.745601,81,-.000428267,141,.34473106,63,.42953762,81,29.63233,965,.0054347492,960,.18114343,965,.77231228,965,.9288277,960,.27004772,960,.61417711,753,.11195276,81,.07567104,141,.47694847,779,.32624128,779,.020787023,779,.11468863,779,.50662786,779,.77902728,50,.00091698702,78,.14254086,33,.37855503,50,23.451502,779,-.00013461401,760,.10598674,779,.20917928,779,.70303613,760,.40037632,760,.63573933,497,.26308358,50,-.0056901569,78,.21361895,1016,.46364298,1016,.11380789,1016,.47826388,1016,.87449348,1016,.7895878,70,.0041409121,121,.22458287,64,.50232947,70,37.06073,1016,.0043441448,1012,.13879895,1016,.78695941,1016,.91274583,1012,.32058144,1012,.62050611,776,.12302577,71,.053429265,121,.33899957,2424,2242,2068,2101
1,19,52,.33329973,52,.039198432,52,.14301991,52,.59070611,52,.2276071,52,.78324878,,,,,,,,,52,.00125714,51,.095241345,52,.46737882,52,.87711388,51,.32643995,51,.61972344,36,.24619089,,,,,769,.46156099,769,.14427125,769,.54415929,769,.86141974,769,.28014696,769,.71519339,56,.0069945939,91,.25185588,38,.3994008,56,24.129246,769,.002842739,760,.13682094,769,.79744095,769,.93594444,760,.34962642,760,.67817324,570,.082067229,56,.13402417,91,.36383122,55,.27300999,55,.015192081,55,.16685385,55,.72241735,55,.63772249,,,,,,,,,55,.000186775,55,.06748537,55,.53573281,55,.81022036,55,.39882866,55,.59466136,38,.30528489,,,,,826,.45146033,826,.14779434,826,.49130508,826,.85937715,826,.72941846,58,.00098508701,83,.1757558,46,.54917949,58,32.689606,826,.0063752569,817,.1429721,826,.79494572,826,.93568259,817,.39729378,817,.64581174,581,.16140677,58,.078683592,83,.25492528,2496,2314,191,156
