year,month,policy,cit_injure,cit_female,off_female,cit_black,cit_white,cit_hispanic,off_black,off_white,off_hispanic,co_race_b,co_race_w,co_race_h,co_gen_f
2013,4,0,0.13768116,0.19927536,0.14492753,0.55072463,0.097826086,0.31521741,0.15217391,0.60144925,0.22463769,0.49275362,0.42391303,0.67028987,0.74275362
2013,8,0,0.25555557,0.17555556,0.10888889,0.57999998,0.18000001,0.21555555,0.16888888,0.62222224,0.17777778,0.46888888,0.41999999,0.69555557,0.77333331
2013,12,0,0.16835018,0.24242425,0.12457912,0.6228956,0.16161616,0.17508417,0.12794612,0.6228956,0.2053872,0.37710437,0.41750842,0.68686867,0.76094276
2013,2,0,0.15873016,0.10476191,0.10476191,0.50793654,0.22539683,0.22222222,0.14920636,0.60317463,0.20634921,0.50158733,0.40634921,0.71111113,0.84126985
2013,1,0,0.11881188,0.17161717,0.092409238,0.5412541,0.19141914,0.22442244,0.15181518,0.63366336,0.17161717,0.51155114,0.41914192,0.70957094,0.78217822
2013,7,0,0.17433414,0.15738499,0.12590799,0.5447942,0.18401937,0.23728813,0.12590799,0.57384986,0.26876512,0.50363195,0.51815981,0.70702177,0.7990315
2013,6,0,0.20044053,0.16519824,0.092511013,0.50881058,0.20484582,0.25110132,0.16299559,0.61233479,0.19603524,0.52643174,0.45154184,0.67621148,0.79074889
2013,3,0,0.16981132,0.16352202,0.10691824,0.4591195,0.22012578,0.29874215,0.15408805,0.65408808,0.1509434,0.4937107,0.36477986,0.63836479,0.7735849
2013,5,0,0.12643678,0.16666667,0.08908046,0.50287354,0.16954023,0.28448275,0.16091955,0.59770113,0.20114942,0.48563218,0.42816091,0.65804595,0.80747128
2013,11,0,0.20714286,0.16428572,0.085714288,0.44642857,0.24642856,0.27857143,0.10714286,0.64999998,0.20714286,0.53928572,0.39642859,0.60714287,0.78571427
2013,10,0,0.22774869,0.20418848,0.11256544,0.539267,0.22513089,0.21465969,0.15706806,0.59685862,0.17539267,0.49214661,0.50785339,0.70418847,0.74083769
2013,9,0,0.24933687,0.1724138,0.12997347,0.48541114,0.20159151,0.27851459,0.17506631,0.54376656,0.26259947,0.49867374,0.51989388,0.58090186,0.78249335
2014,4,0,0.22222222,0.14336918,0.096774191,0.54838711,0.16487455,0.24731183,0.12903225,0.64157706,0.18637992,0.48028675,0.40860215,0.66666669,0.80286741
2014,8,0,0.30399999,0.26800001,0.12,0.48800001,0.27200001,0.192,0.14399999,0.59600002,0.22400001,0.49599999,0.43599999,0.66399997,0.71600002
2014,12,1,0.2614679,0.25229359,0.13302752,0.56422019,0.23853211,0.16972478,0.22477064,0.59633029,0.13302752,0.48623854,0.44036698,0.75229359,0.71559632
2014,2,0,0.27795526,0.19808307,0.099041536,0.46325877,0.2683706,0.2172524,0.18530351,0.54952079,0.22683705,0.54313099,0.50159746,0.63258785,0.7795527
2014,1,0,0.29341316,0.1257485,0.16467066,0.5,0.23652695,0.248503,0.20059881,0.58682632,0.17964073,0.55089819,0.43413174,0.66167665,0.73952097
2014,7,0,0.31395349,0.18604651,0.13565892,0.57751936,0.15891473,0.24418604,0.15891473,0.58139533,0.2248062,0.5271318,0.50775194,0.66279072,0.75581396
2014,6,0,0.31378299,0.18768328,0.12609971,0.5718475,0.19941349,0.2170088,0.16422288,0.63929617,0.16715543,0.51612902,0.48387095,0.72140765,0.76246333
2014,3,0,0.30069929,0.14685315,0.094405591,0.53846157,0.20979021,0.22727273,0.17832167,0.67132866,0.13986014,0.45804197,0.41958043,0.70279717,0.7937063
2014,5,0,0.27160493,0.18827161,0.13271604,0.55864197,0.27469134,0.15123457,0.23148148,0.52469134,0.23148148,0.47530866,0.49691358,0.72839504,0.76543212
2014,11,1,0.36032388,0.14574899,0.10121457,0.55465585,0.15789473,0.27530363,0.17004049,0.58299595,0.19433199,0.51012146,0.47773281,0.64372468,0.80161941
2014,10,1,0.29433963,0.25283018,0.13207547,0.57735848,0.17735849,0.21509434,0.18490566,0.61509436,0.17358491,0.43396226,0.41886792,0.70943397,0.6981132
2014,9,1,0.33823529,0.16176471,0.10661764,0.55882353,0.23897059,0.17647059,0.15441176,0.59558821,0.21323529,0.5,0.47426471,0.66911763,0.78308821
2015,4,1,0.30456853,0.1573604,0.12182741,0.54314721,0.18274112,0.23857868,0.12690355,0.61421317,0.20812182,0.49238577,0.40609136,0.70558375,0.80203044
2015,8,1,0.17045455,0.27840909,0.10227273,0.52272725,0.23863636,0.19886364,0.15340909,0.63636363,0.18181819,0.51704544,0.40909091,0.73295456,0.6875
2015,12,1,0.26881722,0.24193548,0.10752688,0.51612902,0.2311828,0.22580644,0.12365592,0.63440859,0.20967741,0.51075268,0.48924732,0.63978493,0.69354838
2015,2,1,0.29333332,0.22666667,0.06666667,0.55333334,0.23999999,0.18000001,0.20666666,0.62,0.13333334,0.51999998,0.48666668,0.74000001,0.72000003
2015,1,1,0.28095239,0.27142859,0.10952381,0.46190476,0.22380953,0.25238097,0.11904762,0.67142856,0.17619048,0.52380955,0.38095239,0.69523811,0.72380954
2015,7,1,0.25490198,0.17647059,0.098039217,0.63235295,0.15686275,0.2009804,0.14215687,0.61764705,0.21568628,0.43137255,0.40196079,0.65196079,0.75490195
2015,6,1,0.27868852,0.16393442,0.1147541,0.56830603,0.19125684,0.22950819,0.15300547,0.6557377,0.15846995,0.48633879,0.40437159,0.6557377,0.79781419
2015,3,1,0.25,0.21153846,0.15384616,0.50961536,0.17788461,0.29326922,0.1826923,0.61057693,0.1923077,0.51923078,0.45192307,0.67788464,0.70192307
2015,5,1,0.27108434,0.22289157,0.12650603,0.45783132,0.25903615,0.24698795,0.1746988,0.62650603,0.1746988,0.57228917,0.46385542,0.6987952,0.72289157
2015,11,1,0.18421052,0.2,0.1368421,0.58947366,0.14736842,0.24210526,0.11052632,0.65789473,0.2,0.42631578,0.42631578,0.66315788,0.7157895
2015,10,1,0.25274727,0.18131869,0.10439561,0.47802198,0.21428572,0.2912088,0.10439561,0.67032969,0.1978022,0.49450549,0.44505495,0.63186812,0.75824177
2015,9,1,0.19565217,0.14673913,0.18478261,0.45108697,0.16304348,0.35869566,0.10326087,0.5869565,0.29347825,0.55434781,0.46739131,0.6630435,0.76630437
2016,4,1,0.24561404,0.20614035,0.14035088,0.50877196,0.21929824,0.23684211,0.12280702,0.64035088,0.20614035,0.49122807,0.43859649,0.74122804,0.76754385
2016,8,1,0.24479167,0.14583333,0.0625,0.47916666,0.24479167,0.23958333,0.15104167,0.625,0.18229167,0.58854169,0.47395834,0.69270831,0.82291669
