GISJOIN,YEAR,STATE,COUNTY,COUNTYA,Sex by Age: Total Population,Male: Total Population,Male: Under 18,Male: 18 to 34 years old ,Male: 35 to 64 years old,Male: 65 years or Older,Female: Total Population,Female: Under 18,Female: 18 to 34 years old ,Female: 35 to 64 years old,Female: 65 years or Older,Race: Total Population,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Education: Total Population,High School Degree or Less,Some College,College or More,Median Household Income,Proportion Employed in Civilian Labor Force,Proportion Unemployed in Civilian Labor Force
G3600010,2014-2018,New York,Albany County,1,307426,148910,29270,42516,56107,21017,158516,28126,43076,58915,28399,307426,232402,38407,516,19928,133,27553,204509,64340,55746,84423,64535,0.950091586,0.048308633
G3600030,2014-2018,New York,Allegany County,3,47025,23755,4940,6318,8485,4012,23270,4646,5727,8465,4432,47025,44860,652,133,525,12,1410,30155,14075,9978,6102,47033,0.119115303,0.007707496
G3600050,2014-2018,New York,Bronx County,5,1437872,676963,183687,186236,238988,68052,760909,177393,193431,283667,106418,1437872,306423,490823,9596,52388,1128,629988,924137,514383,226620,183134,38085,3.542456645,0.417786712
G3600070,2014-2018,New York,Broome County,7,194402,95608,19635,25269,35355,15349,98794,18326,23936,36260,20272,194402,167041,11177,392,8238,89,13139,128950,52392,40084,36474,50859,0.518531294,0.036616552
G3600090,2014-2018,New York,Cattaraugus County,9,77686,38491,8851,7927,15213,6500,39195,8589,7701,15299,7606,77686,71439,1247,2380,648,0,3525,53030,26979,15915,10136,47240,0.199883436,0.013488118
G3600110,2014-2018,New York,Cayuga County,11,77868,39982,8123,8903,16610,6346,37886,7504,7458,15411,7513,77868,71522,3361,235,399,0,4150,55526,25118,18015,12393,56579,0.217005257,0.012393844
G3600130,2014-2018,New York,Chautauqua County,13,129656,63960,13553,14525,24927,10955,65696,13195,13608,25180,13713,129656,119857,3326,425,694,68,7986,89858,42207,28129,19522,45332,0.333164831,0.024537907
G3600150,2014-2018,New York,Chemung County,15,85740,42556,9547,9091,17175,6743,43184,9113,8582,16913,8576,85740,75443,5262,294,1333,10,6240,59921,27370,18254,14297,53299,0.221596451,0.011781288
G3600170,2014-2018,New York,Chenango County,17,48348,24227,5177,4683,9858,4509,24121,4964,4301,9825,5031,48348,46395,472,166,206,10,1965,34458,17515,10628,6315,50595,0.1302543,0.007891857
G3600190,2014-2018,New York,Clinton County,19,80794,41499,7450,11646,16539,5864,39295,7085,9805,15416,6989,80794,73391,3475,208,1183,26,3548,54954,27163,15203,12588,55178,0.214453933,0.01075838
G3600210,2014-2018,New York,Columbia County,21,60919,30495,5752,5602,12831,6310,30424,5213,5261,12683,7267,60919,54318,2688,33,1127,0,4495,45606,18310,13036,14260,63032,0.175708305,0.009140757
G3600230,2014-2018,New York,Cortland County,23,48123,23550,4903,6612,8612,3423,24573,4533,7379,8537,4124,48123,45625,712,111,387,9,2331,30162,12650,9406,8106,54489,0.139906511,0.006619169
G3600250,2014-2018,New York,Delaware County,25,45502,22943,4003,4875,8966,5099,22559,3851,4328,8884,5496,45502,43108,839,70,363,8,1835,32888,16261,9409,7218,48827,0.120156053,0.006524015
G3600270,2014-2018,New York,Dutchess County,27,293894,146174,29157,34196,61184,21637,147720,27894,32003,60760,27063,293894,230158,30830,1061,10664,117,30417,204465,72981,59529,71955,78028,0.856733354,0.053411281
G3600290,2014-2018,New York,Erie County,29,919866,444998,95982,109002,172772,67242,474868,92561,107273,183744,91290,919866,716987,123475,4558,31800,309,65227,643713,234026,193051,216636,55673,2.670914908,0.134304303
G3600310,2014-2018,New York,Essex County,31,37751,19622,3310,4117,8271,3924,18129,3015,3095,7621,4398,37751,35186,1185,78,134,8,1860,28731,11997,8814,7920,56196,0.10284987,0.006375336
G3600330,2014-2018,New York,Franklin County,33,50692,27816,5187,7625,11212,3792,22876,4725,4507,9355,4289,50692,41778,2965,3618,255,94,2865,35688,18123,10631,6934,51696,0.120185789,0.009152651
G3600350,2014-2018,New York,Fulton County,35,53743,26847,5685,5503,11198,4461,26896,5292,5070,11014,5520,53743,50849,1085,192,382,15,1972,38600,18667,13080,6853,50248,0.144872374,0.009360801
G3600370,2014-2018,New York,Genesee County,37,58112,29022,6011,6272,12052,4687,29090,5923,5722,11679,5766,58112,53404,1304,510,477,0,3837,41265,18382,13992,8891,59338,0.177801699,0.008730404
G3600390,2014-2018,New York,Greene County,39,47617,24903,4182,5799,10213,4709,22714,3875,4073,9479,5287,47617,42731,2936,281,516,5,1807,35427,18049,9555,7823,53617,0.120679401,0.005834146
G3600410,2014-2018,New York,Hamilton County,41,4575,2347,326,373,990,658,2228,307,300,960,661,4575,4420,37,16,1,1,186,3536,1624,1231,681,57552,0.011573138,0.001011014
G3600430,2014-2018,New York,Herkimer County,43,62505,30918,6729,6338,12308,5543,31587,6332,6113,12434,6708,62505,59916,849,150,331,93,2019,43844,20643,14013,9188,51862,0.170248828,0.013125342
G3600450,2014-2018,New York,Jefferson County,45,114448,59931,14007,20102,19276,6546,54517,13770,13855,18819,8073,114448,98570,6894,533,1884,245,10936,72369,31047,25207,16115,52268,0.266194067,0.01839451
G3600470,2014-2018,New York,Kings County,47,2600747,1231912,306308,338971,447076,139557,1368835,293451,359288,512105,203991,2600747,1130251,847116,8427,306829,1047,383706,1777281,781768,347052,648461,56015,7.241382592,0.544347836
G3600490,2014-2018,New York,Lewis County,49,26719,13451,3104,2715,5446,2186,13268,3088,2490,5256,2434,26719,25829,206,55,145,23,736,18373,10338,5039,2996,52380,0.069646978,0.005185908
G3600510,2014-2018,New York,Livingston County,51,63907,32050,5941,8391,12817,4901,31857,5655,8261,12129,5812,63907,59696,1805,128,833,22,2417,42687,18440,13414,10833,56071,0.171408521,0.007475557
G3600530,2014-2018,New York,Madison County,53,71359,35252,7053,8438,14188,5573,36107,6869,8391,14278,6569,71359,67574,1251,464,630,73,2450,47906,20526,14469,12911,60228,0.200490044,0.00984252
G3600550,2014-2018,New York,Monroe County,55,744248,359374,80273,90088,136642,52371,384874,77100,90249,148265,69260,744248,566271,113538,3378,26661,120,56334,510506,171832,146393,192281,57479,2.182868663,0.136861574
G3600570,2014-2018,New York,Montgomery County,57,49426,24265,5793,5080,9428,3964,25161,5492,5096,9572,5001,49426,43412,1007,71,420,0,5973,34213,16880,11357,5976,45837,0.128077646,0.010710802
G3600590,2014-2018,New York,Nassau County,59,1356564,659405,151232,140416,267724,100033,697159,143873,136087,285068,132131,1356564,930446,158708,3583,125767,351,178837,940610,298880,216643,425087,111240,4.068427814,0.181566239
G3600610,2014-2018,New York,New York County,61,1632480,772144,118827,242777,305721,104819,860336,116944,273417,317432,152543,1632480,917402,241850,6995,196347,867,344469,1247071,317285,171461,758325,82459,5.334824084,0.322917906
G3600630,2014-2018,New York,Niagara County,63,211704,103127,21847,22187,42326,16767,108577,20999,21945,44000,21633,211704,185192,15145,2203,2277,75,12034,150607,64766,50042,35799,54085,0.598770131,0.033518091
G3600650,2014-2018,New York,Oneida County,65,230782,115089,25117,26807,44975,18190,115693,23965,24130,44138,23460,230782,197739,14398,491,9184,63,14371,159279,70536,49428,39315,53844,0.608505602,0.035367652
G3600670,2014-2018,New York,Onondaga County,67,464242,223995,51151,54069,86462,32313,240247,48899,56030,92596,42722,464242,370976,52888,2389,17130,116,36721,315658,109102,94637,111919,59225,1.314193449,0.083367034
G3600690,2014-2018,New York,Ontario County,69,109472,53704,11587,11212,21710,9195,55768,10978,10806,22609,11375,109472,101467,2770,487,1455,37,5032,76734,25581,24679,26474,63359,0.323274734,0.013797369
G3600710,2014-2018,New York,Orange County,71,378227,189484,49922,44797,72564,22201,188743,47177,38616,74699,28251,378227,279802,40849,1308,10034,229,59347,240918,96226,72901,71791,76716,1.03976259,0.053863263
G3600730,2014-2018,New York,Orleans County,73,41175,20539,4145,4690,8574,3130,20636,4020,4179,8623,3814,41175,36583,2541,151,326,21,2304,29632,15324,9601,4707,51843,0.108006042,0.005941195
G3600750,2014-2018,New York,Oswego County,75,119104,59648,13166,14234,23826,8422,59456,12263,13515,23862,9816,119104,113885,1325,190,882,16,5008,80149,39979,25276,14894,53597,0.317339487,0.027047601
G3600770,2014-2018,New York,Otsego County,77,60244,29127,5059,7805,10720,5543,31117,4819,8471,11349,6478,60244,56254,1245,92,829,5,3014,39907,16277,11305,12325,53121,0.167536932,0.011477984
G3600790,2014-2018,New York,Putnam County,79,99070,49296,10220,9979,21751,7346,49774,10091,8904,22072,8707,99070,86904,2881,205,2019,24,9240,70298,23877,18394,28027,102186,0.303696743,0.017044508
G3600810,2014-2018,New York,Queens County,81,2298513,1114654,238588,279470,454094,142502,1183859,226870,280238,478597,198154,2298513,896722,421038,9977,580709,1100,468698,1646256,757986,369271,518999,64987,6.729351524,0.442360302
G3600830,2014-2018,New York,Rensselaer County,83,159431,78611,16170,20196,30986,11259,80820,15553,18371,32616,14280,159431,137648,10239,212,4134,9,12861,111082,41616,35983,33483,65851,0.481724433,0.025923591
G3600850,2014-2018,New York,Richmond County,85,474101,229424,53577,52480,91998,31369,244677,50926,51615,100180,41956,474101,352259,48591,1080,41427,197,42337,328753,139413,81014,108326,79267,1.256589433,0.064657326
